artist_id,genres
0Cd6nHYwecCNM1sVEXKlYr,"['edm', 'electra', 'electro house', 'pop dance']"
0ChjBYedhZTQnWZWQYg15U,['modern country pop']
0Chxmm4XMM87mJOHvyiUzL,"['pop rap', 'wrestling']"
0CjWKoS55T7DOt0HJuwF1H,['gauze pop']
0Cp8WN4V8Tu4QJQwCN5Md4,"['alt z', 'nz pop']"
0DRTDBGl9fBAzVdF1IFA75,[]
0Dlbufr3A5qPlynEzYg3jI,[]
0DxPHf2flBAcV2SnZPg3SV,"['indiecoustica', 'singer-songwriter pop']"
0DxeaLnv6SyYk2DOqkLO8c,"['pop', 'reggae fusion']"
0E8NThqr21dCUKDFEDPpuY,['vapor pop']
0ECwFtbIWEVNwjlrfc6xoL,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
0EOoSsmM3oV2aoGL3Od3E3,[]
0EeQBlQJFiAfJeVN2vT9s0,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
0EhgpjUqiIIQhM6ZRF4kXX,"['classic texas country', 'texas country']"
0EmeFodog0BfCgMzAIvKQp,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
0ErzCpIMyLcjPiwT4elrtZ,"['memphis hip hop', 'rap']"
0EuSP8KnPY1qQpxLBOjBG1,[]
0EyuKHE1AeE9lWUF8mzKVp,"['alternative metal', 'nu metal', 'post-grunge']"
0FOWNUFHPnMy0vOw1siGqi,"['canadian hip hop', 'canadian trap']"
0FTkvpgQfrCz3ku0oSbrYU,"['classic colombian pop', 'cumbia', 'musica popular colombiana', 'tropical']"
0FWzNDaEu9jdgcYTbcOa4F,"['dance pop', 'electropowerpop', 'pop punk', 'pop rap', 'post-teen pop']"
0FvHxb8a4I0A2i8jKCsFei,['corrido']
0G070wUUUBptmqGEKAAUVx,"['hardcore hip hop', 'hip hop']"
0G1lC1HfIxk8lrAFBrsWrF,[]
