chart_week,list_position,track_id,score,chart_year,chart_month,track_name,duration_ms,release_date,album_type,explicit,artist_id,artist_name,popularity,followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,distance_to_mean
2023-02-18,6,1xzi1Jcr7mEi9K2RfzLOqS,75,2023,2,CUFF IT,225388,2022-07-29,album,True,6vWDO969PvNqNYHIOW5v0m,Beyoncé,87.0,38734146.0,0.78,0.689,7.0,-5.668,1.0,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,4.0,pop,6.195626771043317
2009-10-17,6,7Hqig8kp32q2Ire3ECQvWM,75,2009,10,Paparazzi,208306,2008-01-01,album,False,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,92.0,32043089.0,0.762,0.692,5.0,-3.973,0.0,0.0437,0.112,0.0,0.094,0.397,114.903,4.0,pop,6.395534362462872
2018-02-17,6,2ekn2ttSfGqwhhate0LSR0,75,2018,2,New Rules,209320,2017-06-02,album,False,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,88.0,44822142.0,0.762,0.7,9.0,-6.021,0.0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,4.0,pop,6.41236396115106
2013-09-21,6,6PUIzlqotEmPuBfjbwYWOB,75,2013,9,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,214912,2013-02-01,single,False,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,92.0,40583711.0,0.572,0.81,1.0,-5.791,0.0,0.0558,0.0157,6.53e-06,0.13,0.11,126.052,4.0,pop,6.600625527758795
2002-09-28,6,42T2QQv3xgBlpQxaSP7lnK,75,2002,9,One Last Breath,238240,2001-01-01,album,False,43sZBwHjahUvgbx1WNIkIz,Creed,74.0,3533718.0,0.386,0.677,2.0,-5.83,1.0,0.0346,0.00841,0.00366,0.341,0.195,126.602,4.0,rock,6.6104579716188745
2007-08-04,6,3ImK7VLktA71dwqxRkO6il,75,2007,8,What Time Is It - Original,201079,2009-01-01,album,False,18RdrdlKkNsF7XRlu3MFsa,Cast,20.0,358.0,0.746,0.811,0.0,-8.657,1.0,0.064,0.0958,0.0,0.311,0.876,116.039,4.0,other,6.7044438230865575
2011-09-17,6,6rkAY9rk1NTFB94QxG3LJR,75,2011,9,Yoü And I,307346,2011-01-01,album,False,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,92.0,32043089.0,0.516,0.709,2.0,-5.234,1.0,0.0478,0.0745,0.0,0.0935,0.515,127.073,4.0,pop,7.130689691379368
2000-01-01,6,7ffwRz8lZyDOE4Vj58Lo72,75,2000,1,I Need to Know,227706,1999-09-28,album,False,4wLXwxDeWQ8mtUIRPxGiD6,Marc Anthony,77.0,10004632.0,0.813,0.949,3.0,-2.563,0.0,0.0336,0.486,9.75e-06,0.112,0.792,115.061,4.0,pop,7.171107860316871
2017-08-26,6,7JJmb5XwzOO8jgpou264Ml,75,2017,8,There's Nothing Holdin' Me Back,199440,2017-04-20,album,False,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,84.0,43412315.0,0.866,0.811,11.0,-4.063,0.0,0.0553,0.375,0.0,0.078,0.969,121.995,4.0,pop,7.175127322775801
2012-02-18,6,6MAdEUilV2p9RQUqE5bMAK,75,2012,2,Domino,231693,2011-01-01,album,False,2gsggkzM5R49q6jpPvazou,Jessie J,72.0,11760033.0,0.757,0.547,7.0,-4.572,1.0,0.0355,0.0115,0.0,0.0445,0.793,126.974,4.0,pop,7.196192735366675
